stimStart,ButtonPressed,Value,TargetTime
12.000832560999697,13.822588494000229,1.0,
16.001891062999675,16.991041641000265,1.0,
20.00112331299988,20.8688145039996,1.0,
24.0013721360001,25.402645145999486,0.0,
28.00492722600029,29.386090981000052,0.0,
32.00509355600025,33.16126207100024,0.0,
36.00445919499998,37.202875445000245,1.0,
40.00443499799985,41.37199633699947,0.0,
48.00413968999965,50.1189582449997,0.0,
52.0019988060003,53.65518677199998,0.0,
56.00274226500005,56.977857771000345,1.0,
60.002421747999506,61.25663571400037,1.0,
64.00321060700026,65.191091916,1.0,
68.00275196100029,69.29604982299952,0.0,
72.00401536400022,73.80131179700038,0.0,
80.00369978500021,80.98520843699953,1.0,
84.0027350170003,85.06722976299989,1.0,
88.00274221000018,89.12153815999955,1.0,
92.00200007199965,92.93332946099963,1.0,
96.00216811199971,96.87014302100033,0.0,
100.00190180299978,101.52046516500013,0.0,
104.00348653000037,105.31616834299984,0.0,
112.0043221119995,113.17681939199974,1.0,
116.00462258700009,117.03485430399996,0.0,
120.0038127429998,121.15671000400016,0.0,
124.00457142599953,124.99721639000018,1.0,
128.00416556500022,129.14836145499976,1.0,
132.00426587000038,135.48838775999957,1.0,
136.0050567799999,138.62691619399993,0.0,
140.0075218060001,141.18260969600033,0.0,
144.00716797899986,145.34827777699957,0.0,
148.007727532,148.89790304599956,1.0,
152.02148445500006,153.12707696799953,0.0,
156.0064962639999,157.15052549400025,1.0,
164.00532038599977,165.16429136599982,1.0,
168.00654033699993,168.9106211440003,1.0,
172.00596332799978,173.5007578169998,0.0,
176.0069742380001,177.29846438299955,0.0,
180.0053239580002,181.04874586299957,1.0,
184.0069676639996,185.2269107379998,0.0,
188.00550095000017,189.08475961899967,0.0,
196.00484735899954,197.92928898900027,1.0,
200.00580327700027,201.09921177900014,1.0,
204.00464597500013,204.8359437680001,1.0,
208.00534429599975,209.21861318399988,0.0,
212.00680843899954,212.98031904300024,0.0,
216.00692122999953,217.1017192449999,1.0,
220.00708623300034,221.01068488999954,0.0,
15.999992881999788,21.047866764999526,1.0,19.872508683999513
15.999992881999788,21.047866764999526,1.0,19.872508683999513
23.99852611099959,27.961152359000153,1.0,
23.99852611099959,27.961152359000153,1.0,
31.998490906999905,38.568012368999916,0.0,
31.998490906999905,38.568012368999916,0.0,
39.9981261060002,45.63471106199995,1.0,
39.9981261060002,45.63471106199995,1.0,
47.997056031000284,54.520251723999536,0.0,
47.997056031000284,54.520251723999536,0.0,
55.996608710000146,62.48990080099975,1.0,61.12132942700009
55.996608710000146,62.48990080099975,1.0,61.12132942700009
63.99680458500006,70.87262213400027,0.0,
63.99680458500006,70.87262213400027,0.0,
79.99604619999991,86.60819617299967,0.0,84.11885855899982
79.99604619999991,86.60819617299967,0.0,84.11885855899982
87.99538196100002,94.57584377399962,0.0,92.49402226700022
87.99538196100002,94.57584377399962,0.0,92.49402226700022
95.9955989529999,100.95293277099972,1.0,99.61909523200029
95.9955989529999,100.95293277099972,1.0,99.61909523200029
103.99475844100016,111.45939956799975,1.0,109.86900330499975
103.99475844100016,111.45939956799975,1.0,109.86900330499975
111.99377191900021,118.85904573199969,0.0,
111.99377191900021,118.85904573199969,0.0,
127.99371357499967,134.51546423299988,1.0,131.2421338919994
127.99371357499967,134.51546423299988,1.0,131.2421338919994
135.9924926879994,143.1128507249996,0.0,
135.9924926879994,143.1128507249996,0.0,
143.99167691399998,150.1932534890002,1.0,148.86692390000007
143.99167691399998,150.1932534890002,1.0,148.86692390000007
151.99136469299992,158.1815106209997,1.0,
151.99136469299992,158.1815106209997,1.0,
167.99064794399965,171.86208913100018,1.0,170.99084751400005
167.99064794399965,171.86208913100018,1.0,170.99084751400005
175.9901872270002,182.12101881299986,1.0,
175.9901872270002,182.12101881299986,1.0,
183.99063202599973,190.0321220579999,1.0,
183.99063202599973,190.0321220579999,1.0,
191.9885246949998,196.52160053900025,1.0,
191.9885246949998,196.52160053900025,1.0,
199.98813096199956,206.413019437,0.0,203.86415815999953
199.98813096199956,206.413019437,0.0,203.86415815999953
207.98863517300015,214.62869717600006,0.0,
207.98863517300015,214.62869717600006,0.0,
223.9882879910001,229.8880320749995,1.0,229.11280261699994
223.9882879910001,229.8880320749995,1.0,229.11280261699994
231.98753287699947,238.6560124329999,0.0,
231.98753287699947,238.6560124329999,0.0,
239.9870241990002,244.34822652499952,1.0,243.48691159899954
239.9870241990002,244.34822652499952,1.0,243.48691159899954
247.98728083199967,254.63832046100015,1.0,253.73722280099992
247.98728083199967,254.63832046100015,1.0,253.73722280099992
255.98681613400004,263.02120763399944,0.0,259.86195385999963
255.98681613400004,263.02120763399944,0.0,259.86195385999963
263.9866906970001,270.0886008059997,1.0,
263.9866906970001,270.0886008059997,1.0,
271.98633010899994,278.39707696499954,0.0,276.9854652160002
271.98633010899994,278.39707696499954,0.0,276.9854652160002
287.9852956169998,294.53731576599967,0.0,
287.9852956169998,294.53731576599967,0.0,
295.98451731600017,302.45671555099943,0.0,
295.98451731600017,302.45671555099943,0.0,
303.984688345,310.1420378089997,1.0,308.7339466479998
303.984688345,310.1420378089997,1.0,308.7339466479998
311.9847859769998,316.16714855400005,1.0,315.10920194699975
311.9847859769998,316.16714855400005,1.0,315.10920194699975
319.98332691999985,324.1555523750003,1.0,323.35908074599956
319.98332691999985,324.1555523750003,1.0,323.35908074599956
335.9830971350002,341.19843555700027,1.0,340.35838784799944
335.9830971350002,341.19843555700027,1.0,340.35838784799944
343.9825364440003,348.8300574140003,1.0,
343.9825364440003,348.8300574140003,1.0,
